word,log2 Probability
either,-11.464
understand,-11.464
interest,-11.478
talked,-11.478
Bath,-11.492
Ferrars,-11.506
get,-11.506
glad,-11.506
rest,-11.506
seeing,-11.506
affection,-11.52
feeling,-11.52
marry,-11.52
set,-11.52
children,-11.534
pretty,-11.534
days,-11.548
end,-11.548
married,-11.548
mean,-11.548
near,-11.548
talk,-11.548
town,-11.548
wished,-11.548
change,-11.563
minutes,-11.577
through,-11.577
character,-11.592
ready,-11.592
answer,-11.607
return,-11.607
year,-11.607
As,-11.622
already,-11.622
beyond,-11.622
door,-11.622
manners,-11.622
point,-11.622
returned,-11.622
sorry,-11.622
hand,-11.638
appeared,-11.653
let,-11.653
reason,-11.653
state,-11.653
true,-11.653
voice,-11.653
received,-11.669
themselves,-11.669
went,-11.669
CHAPTER,-11.684
determined,-11.684
engagement,-11.684
object,-11.684
regard,-11.684
took,-11.684
When,-11.7
among,-11.7
attachment,-11.7
business,-11.7
called,-11.7
care,-11.7
directly,-11.7
fortune,-11.7
head,-11.7
husband,-11.7
thinking,-11.7
within,-11.7
Louisa,-11.716
agreeable,-11.716
assure,-11.716
farther,-11.716
means,-11.716
afterwards,-11.733
saying,-11.733
sense,-11.733
taken,-11.733
walked,-11.733
continued,-11.749
full,-11.749
real,-11.749
Do,-11.766
spoke,-11.766
nature,-11.783
walk,-11.783
yourself,-11.783
Elizabeth,-11.8
conversation,-11.8
whose,-11.8
added,-11.817
dare,-11.817
natural,-11.817
particularly,-11.817
power,-11.817
wonder,-11.817
entirely,-11.835
kindness,-11.835
making,-11.835
matter,-11.835
neither,-11.835
son,-11.835
stay,-11.835
strong,-11.835
believed,-11.852
marriage,-11.852
night,-11.852
Middleton,-11.87
So,-11.87
afraid,-11.87
equal,-11.87
exactly,-11.87
likely,-11.87
particular,-11.87
pleased,-11.87
usual,-11.87
extremely,-11.888
open,-11.888
question,-11.888
talking,-11.888
things,-11.888
ask,-11.907
degree,-11.907
fine,-11.907
gentleman,-11.907
giving,-11.907
settled,-11.907
week,-11.907
behaviour,-11.925
different,-11.925
expected,-11.925
girl,-11.925
use,-11.925
words,-11.925
country,-11.944
doing,-11.944
common,-11.963
hours,-11.963
taste,-11.963
Martin,-11.983
bad,-11.983
bear,-11.983
child,-11.983
company,-11.983
dinner,-11.983
impossible,-11.983
five,-12.002
four,-12.002
months,-12.002
used,-12.002
London,-12.022
Randalls,-12.022
case,-12.022
handsome,-12.022
ladies,-12.022
met,-12.022
satisfied,-12.022
society,-12.022
acquainted,-12.042
air,-12.042
circumstances,-12.042
comfortable,-12.042
engaged,-12.042
new,-12.042
call,-12.063
face,-12.063
forward,-12.063
alone,-12.084
asked,-12.084
cold,-12.084
meeting,-12.084
round,-12.084
anxious,-12.105
fancy,-12.105
imagine,-12.105
men,-12.105
respect,-12.105
satisfaction,-12.105
speaking,-12.105
allow,-12.126
appearance,-12.126
conduct,-12.126
got,-12.126
greater,-12.126
large,-12.126
read,-12.126
t,-12.126
Barton,-12.148
anything,-12.148
beginning,-12.148
consequence,-12.148
early,-12.148
need,-12.148
sat,-12.148
convinced,-12.17
hoped,-12.17
Kellynch,-12.192
Your,-12.192
hearing,-12.192
necessary,-12.192
nobody,-12.192
superior,-12.192
supposed,-12.192
why,-12.192
Harville,-12.215
health,-12.215
keep,-12.215
pain,-12.215
smile,-12.215
spite,-12.215
walking,-12.215
At,-12.238
Isabella,-12.238
Palmer,-12.238
drawing,-12.238
help,-12.238
knowledge,-12.238
living,-12.238
sit,-12.238
worth,-12.238
Now,-12.261
Such,-12.261
Uppercross,-12.261
allowed,-12.261
meant,-12.261
remember,-12.261
seem,-12.261
sir,-12.261
sisters,-12.261
sometimes,-12.261
Very,-12.285
considered,-12.285
entered,-12.285
eye,-12.285
meet,-12.285
proper,-12.285
small,-12.285
thousand,-12.285
truth,-12.285
turned,-12.285
appear,-12.31
fond,-12.31
table,-12.31
twenty,-12.31
favour,-12.334
past,-12.334
self,-12.334
silent,-12.334
taking,-12.334
thoughts,-12.334
Ah,-12.359
